Notes,State,State Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - Drug/Alcohol Induced,MCD - Drug/Alcohol Induced Code,Deaths,Population,Crude Rate
Total,Minnesota,27,2010,2010,,,,,396,5303925,7.5
,Minnesota,27,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,511,5344861,9.6
Total,Minnesota,27,2011,2011,External causes of morbidity and mortality,V01-Y89,,,511,5344861,9.6
Total,Minnesota,27,2011,2011,,,,,511,5344861,9.6
,Minnesota,27,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,482,5379139,9
Total,Minnesota,27,2012,2012,External causes of morbidity and mortality,V01-Y89,,,482,5379139,9
Total,Minnesota,27,2012,2012,,,,,482,5379139,9
,Minnesota,27,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,523,5420380,9.6
Total,Minnesota,27,2013,2013,External causes of morbidity and mortality,V01-Y89,,,523,5420380,9.6
Total,Minnesota,27,2013,2013,,,,,523,5420380,9.6
,Minnesota,27,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,517,5457173,9.5
Total,Minnesota,27,2014,2014,External causes of morbidity and mortality,V01-Y89,,,517,5457173,9.5
Total,Minnesota,27,2014,2014,,,,,517,5457173,9.5
,Minnesota,27,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,581,5489594,10.6
Total,Minnesota,27,2015,2015,External causes of morbidity and mortality,V01-Y89,,,581,5489594,10.6
Total,Minnesota,27,2015,2015,,,,,581,5489594,10.6
,Minnesota,27,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,672,5519952,12.2
Total,Minnesota,27,2016,2016,External causes of morbidity and mortality,V01-Y89,,,672,5519952,12.2
Total,Minnesota,27,2016,2016,,,,,672,5519952,12.2
,Minnesota,27,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,732,5576606,13.1
Total,Minnesota,27,2017,2017,External causes of morbidity and mortality,V01-Y89,,,732,5576606,13.1
Total,Minnesota,27,2017,2017,,,,,732,5576606,13.1
,Minnesota,27,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,635,5611179,11.3
Total,Minnesota,27,2018,2018,External causes of morbidity and mortality,V01-Y89,,,635,5611179,11.3
Total,Minnesota,27,2018,2018,,,,,635,5611179,11.3
,Minnesota,27,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,792,5639632,14
Total,Minnesota,27,2019,2019,External causes of morbidity and mortality,V01-Y89,,,792,5639632,14
Total,Minnesota,27,2019,2019,,,,,792,5639632,14
Total,Minnesota,27,,,,,,,8715,110696994,7.9
,Mississippi,28,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,87,2828408,3.1
Total,Mississippi,28,1999,1999,External causes of morbidity and mortality,V01-Y89,,,87,2828408,3.1
Total,Mississippi,28,1999,1999,,,,,87,2828408,3.1
,Mississippi,28,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,114,2844658,4
Total,Mississippi,28,2000,2000,External causes of morbidity and mortality,V01-Y89,,,114,2844658,4
Total,Mississippi,28,2000,2000,,,,,114,2844658,4
,Mississippi,28,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,169,2852994,5.9
Total,Mississippi,28,2001,2001,External causes of morbidity and mortality,V01-Y89,,,169,2852994,5.9
Total,Mississippi,28,2001,2001,,,,,169,2852994,5.9
,Mississippi,28,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,183,2858681,6.4
Total,Mississippi,28,2002,2002,External causes of morbidity and mortality,V01-Y89,,,183,2858681,6.4
Total,Mississippi,28,2002,2002,,,,,183,2858681,6.4
,Mississippi,28,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,207,2868312,7.2
Total,Mississippi,28,2003,2003,External causes of morbidity and mortality,V01-Y89,,,207,2868312,7.2
Total,Mississippi,28,2003,2003,,,,,207,2868312,7.2
,Mississippi,28,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,224,2889010,7.8
Total,Mississippi,28,2004,2004,External causes of morbidity and mortality,V01-Y89,,,224,2889010,7.8
Total,Mississippi,28,2004,2004,,,,,224,2889010,7.8
,Mississippi,28,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,248,2905943,8.5
Total,Mississippi,28,2005,2005,External causes of morbidity and mortality,V01-Y89,,,248,2905943,8.5
Total,Mississippi,28,2005,2005,,,,,248,2905943,8.5
,Mississippi,28,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,338,2904978,11.6
Total,Mississippi,28,2006,2006,External causes of morbidity and mortality,V01-Y89,,,338,2904978,11.6
Total,Mississippi,28,2006,2006,,,,,338,2904978,11.6
,Mississippi,28,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,314,2928350,10.7
Total,Mississippi,28,2007,2007,External causes of morbidity and mortality,V01-Y89,,,314,2928350,10.7
Total,Mississippi,28,2007,2007,,,,,314,2928350,10.7
,Mississippi,28,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,303,2947806,10.3
Total,Mississippi,28,2008,2008,External causes of morbidity and mortality,V01-Y89,,,303,2947806,10.3
Total,Mississippi,28,2008,2008,,,,,303,2947806,10.3
,Mississippi,28,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,323,2958774,10.9
Total,Mississippi,28,2009,2009,External causes of morbidity and mortality,V01-Y89,,,323,2958774,10.9
Total,Mississippi,28,2009,2009,,,,,323,2958774,10.9
,Mississippi,28,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,333,2967297,11.2
Total,Mississippi,28,2010,2010,External causes of morbidity and mortality,V01-Y89,,,333,2967297,11.2
Total,Mississippi,28,2010,2010,,,,,333,2967297,11.2
,Mississippi,28,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,302,2978512,10.1
Total,Mississippi,28,2011,2011,External causes of morbidity and mortality,V01-Y89,,,302,2978512,10.1
Total,Mississippi,28,2011,2011,,,,,302,2978512,10.1
,Mississippi,28,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,310,2984926,10.4
Total,Mississippi,28,2012,2012,External causes of morbidity and mortality,V01-Y89,,,310,2984926,10.4
Total,Mississippi,28,2012,2012,,,,,310,2984926,10.4
,Mississippi,28,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,316,2991207,10.6
Total,Mississippi,28,2013,2013,External causes of morbidity and mortality,V01-Y89,,,316,2991207,10.6
Total,Mississippi,28,2013,2013,,,,,316,2991207,10.6
,Mississippi,28,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,336,2994079,11.2
Total,Mississippi,28,2014,2014,External causes of morbidity and mortality,V01-Y89,,,336,2994079,11.2
Total,Mississippi,28,2014,2014,,,,,336,2994079,11.2
,Mississippi,28,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,351,2992333,11.7
Total,Mississippi,28,2015,2015,External causes of morbidity and mortality,V01-Y89,,,351,2992333,11.7
Total,Mississippi,28,2015,2015,,,,,351,2992333,11.7
,Mississippi,28,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,352,2988726,11.8
Total,Mississippi,28,2016,2016,External causes of morbidity and mortality,V01-Y89,,,352,2988726,11.8
Total,Mississippi,28,2016,2016,,,,,352,2988726,11.8
,Mississippi,28,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,354,2984100,11.9
Total,Mississippi,28,2017,2017,External causes of morbidity and mortality,V01-Y89,,,354,2984100,11.9
Total,Mississippi,28,2017,2017,,,,,354,2984100,11.9
,Mississippi,28,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,310,2986530,10.4
Total,Mississippi,28,2018,2018,External causes of morbidity and mortality,V01-Y89,,,310,2986530,10.4
Total,Mississippi,28,2018,2018,,,,,310,2986530,10.4
,Mississippi,28,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,394,2976149,13.2
Total,Mississippi,28,2019,2019,External causes of morbidity and mortality,V01-Y89,,,394,2976149,13.2
Total,Mississippi,28,2019,2019,,,,,394,2976149,13.2
Total,Mississippi,28,,,,,,,5868,61631773,9.5
,Missouri,29,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,275,5561948,4.9
Total,Missouri,29,1999,1999,External causes of morbidity and mortality,V01-Y89,,,275,5561948,4.9
Total,Missouri,29,1999,1999,,,,,275,5561948,4.9
,Missouri,29,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,303,5595211,5.4
Total,Missouri,29,2000,2000,External causes of morbidity and mortality,V01-Y89,,,303,5595211,5.4
Total,Missouri,29,2000,2000,,,,,303,5595211,5.4
,Missouri,29,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,350,5641142,6.2
Total,Missouri,29,2001,2001,External causes of morbidity and mortality,V01-Y89,,,350,5641142,6.2
Total,Missouri,29,2001,2001,,,,,350,5641142,6.2
,Missouri,29,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,416,5674825,7.3
Total,Missouri,29,2002,2002,External causes of morbidity and mortality,V01-Y89,,,416,5674825,7.3
Total,Missouri,29,2002,2002,,,,,416,5674825,7.3
,Missouri,29,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,521,5709403,9.1
Total,Missouri,29,2003,2003,External causes of morbidity and mortality,V01-Y89,,,521,5709403,9.1
Total,Missouri,29,2003,2003,,,,,521,5709403,9.1
,Missouri,29,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,548,5747741,9.5
Total,Missouri,29,2004,2004,External causes of morbidity and mortality,V01-Y89,,,548,5747741,9.5
Total,Missouri,29,2004,2004,,,,,548,5747741,9.5
,Missouri,29,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,607,5790300,10.5
Total,Missouri,29,2005,2005,External causes of morbidity and mortality,V01-Y89,,,607,5790300,10.5
Total,Missouri,29,2005,2005,,,,,607,5790300,10.5
,Missouri,29,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,743,5842704,12.7
Total,Missouri,29,2006,2006,External causes of morbidity and mortality,V01-Y89,,,743,5842704,12.7
Total,Missouri,29,2006,2006,,,,,743,5842704,12.7
,Missouri,29,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,714,5887612,12.1
Total,Missouri,29,2007,2007,External causes of morbidity and mortality,V01-Y89,,,714,5887612,12.1
Total,Missouri,29,2007,2007,,,,,714,5887612,12.1
,Missouri,29,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,765,5923916,12.9
Total,Missouri,29,2008,2008,External causes of morbidity and mortality,V01-Y89,,,765,5923916,12.9
Total,Missouri,29,2008,2008,,,,,765,5923916,12.9
,Missouri,29,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,862,5961088,14.5
Total,Missouri,29,2009,2009,External causes of morbidity and mortality,V01-Y89,,,862,5961088,14.5
Total,Missouri,29,2009,2009,,,,,862,5961088,14.5
,Missouri,29,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,997,5988927,16.6
Total,Missouri,29,2010,2010,External causes of morbidity and mortality,V01-Y89,,,997,5988927,16.6
Total,Missouri,29,2010,2010,,,,,997,5988927,16.6
,Missouri,29,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,962,6010688,16
Total,Missouri,29,2011,2011,External causes of morbidity and mortality,V01-Y89,,,962,6010688,16
Total,Missouri,29,2011,2011,,,,,962,6010688,16
,Missouri,29,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,942,6021988,15.6
Total,Missouri,29,2012,2012,External causes of morbidity and mortality,V01-Y89,,,942,6021988,15.6
Total,Missouri,29,2012,2012,,,,,942,6021988,15.6
,Missouri,29,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1024,6044171,16.9
Total,Missouri,29,2013,2013,External causes of morbidity and mortality,V01-Y89,,,1024,6044171,16.9
Total,Missouri,29,2013,2013,,,,,1024,6044171,16.9
,Missouri,29,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1066,6063589,17.6
Total,Missouri,29,2014,2014,External causes of morbidity and mortality,V01-Y89,,,1066,6063589,17.6
Total,Missouri,29,2014,2014,,,,,1066,6063589,17.6
,Missouri,29,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1066,6083672,17.5
Total,Missouri,29,2015,2015,External causes of morbidity and mortality,V01-Y89,,,1066,6083672,17.5
Total,Missouri,29,2015,2015,,,,,1066,6083672,17.5
,Missouri,29,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1371,6093000,22.5
Total,Missouri,29,2016,2016,External causes of morbidity and mortality,V01-Y89,,,1371,6093000,22.5
Total,Missouri,29,2016,2016,,,,,1371,6093000,22.5
,Missouri,29,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1366,6113532,22.3
Total,Missouri,29,2017,2017,External causes of morbidity and mortality,V01-Y89,,,1366,6113532,22.3
Total,Missouri,29,2017,2017,,,,,1366,6113532,22.3
,Missouri,29,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1608,6126452,26.2
Total,Missouri,29,2018,2018,External causes of morbidity and mortality,V01-Y89,,,1608,6126452,26.2
Total,Missouri,29,2018,2018,,,,,1608,6126452,26.2
,Missouri,29,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,1583,6137428,25.8
Total,Missouri,29,2019,2019,External causes of morbidity and mortality,V01-Y89,,,1583,6137428,25.8
Total,Missouri,29,2019,2019,,,,,1583,6137428,25.8
Total,Missouri,29,,,,,,,18089,124019337,14.6
,Montana,30,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,40,897507,4.5
Total,Montana,30,1999,1999,External causes of morbidity and mortality,V01-Y89,,,40,897507,4.5
Total,Montana,30,1999,1999,,,,,40,897507,4.5
,Montana,30,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,41,902195,4.5
Total,Montana,30,2000,2000,External causes of morbidity and mortality,V01-Y89,,,41,902195,4.5
Total,Montana,30,2000,2000,,,,,41,902195,4.5
,Montana,30,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,56,906961,6.2
Total,Montana,30,2001,2001,External causes of morbidity and mortality,V01-Y89,,,56,906961,6.2
Total,Montana,30,2001,2001,,,,,56,906961,6.2
,Montana,30,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,78,911667,8.6
Total,Montana,30,2002,2002,External causes of morbidity and mortality,V01-Y89,,,78,911667,8.6
Total,Montana,30,2002,2002,,,,,78,911667,8.6
,Montana,30,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,93,919630,10.1
Total,Montana,30,2003,2003,External causes of morbidity and mortality,V01-Y89,,,93,919630,10.1
Total,Montana,30,2003,2003,,,,,93,919630,10.1
,Montana,30,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,98,930009,10.5
Total,Montana,30,2004,2004,External causes of morbidity and mortality,V01-Y89,,,98,930009,10.5
Total,Montana,30,2004,2004,,,,,98,930009,10.5
,Montana,30,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,96,940102,10.2
Total,Montana,30,2005,2005,External causes of morbidity and mortality,V01-Y89,,,96,940102,10.2
Total,Montana,30,2005,2005,,,,,96,940102,10.2
,Montana,30,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,97,952692,10.2
Total,Montana,30,2006,2006,External causes of morbidity and mortality,V01-Y89,,,97,952692,10.2
Total,Montana,30,2006,2006,,,,,97,952692,10.2
,Montana,30,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,125,964706,13
Total,Montana,30,2007,2007,External causes of morbidity and mortality,V01-Y89,,,125,964706,13
Total,Montana,30,2007,2007,,,,,125,964706,13
,Montana,30,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,134,976415,13.7
Total,Montana,30,2008,2008,External causes of morbidity and mortality,V01-Y89,,,134,976415,13.7
Total,Montana,30,2008,2008,,,,,134,976415,13.7
,Montana,30,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,142,983982,14.4
Total,Montana,30,2009,2009,External causes of morbidity and mortality,V01-Y89,,,142,983982,14.4
Total,Montana,30,2009,2009,,,,,142,983982,14.4
,Montana,30,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,118,989415,11.9
Total,Montana,30,2010,2010,External causes of morbidity and mortality,V01-Y89,,,118,989415,11.9
Total,Montana,30,2010,2010,,,,,118,989415,11.9
,Montana,30,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,140,998199,14
Total,Montana,30,2011,2011,External causes of morbidity and mortality,V01-Y89,,,140,998199,14
Total,Montana,30,2011,2011,,,,,140,998199,14
,Montana,30,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,118,1005141,11.7
Total,Montana,30,2012,2012,External causes of morbidity and mortality,V01-Y89,,,118,1005141,11.7
Total,Montana,30,2012,2012,,,,,118,1005141,11.7
,Montana,30,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,137,1015165,13.5
Total,Montana,30,2013,2013,External causes of morbidity and mortality,V01-Y89,,,137,1015165,13.5
Total,Montana,30,2013,2013,,,,,137,1015165,13.5
,Montana,30,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,125,1023579,12.2
Total,Montana,30,2014,2014,External causes of morbidity and mortality,V01-Y89,,,125,1023579,12.2
Total,Montana,30,2014,2014,,,,,125,1023579,12.2
,Montana,30,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,138,1032949,13.4
Total,Montana,30,2015,2015,External causes of morbidity and mortality,V01-Y89,,,138,1032949,13.4
Total,Montana,30,2015,2015,,,,,138,1032949,13.4
,Montana,30,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,119,1042520,11.4
Total,Montana,30,2016,2016,External causes of morbidity and mortality,V01-Y89,,,119,1042520,11.4
Total,Montana,30,2016,2016,,,,,119,1042520,11.4
,Montana,30,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,119,1050493,11.3
Total,Montana,30,2017,2017,External causes of morbidity and mortality,V01-Y89,,,119,1050493,11.3
Total,Montana,30,2017,2017,,,,,119,1050493,11.3
,Montana,30,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,125,1062305,11.8
Total,Montana,30,2018,2018,External causes of morbidity and mortality,V01-Y89,,,125,1062305,11.8
Total,Montana,30,2018,2018,,,,,125,1062305,11.8
,Montana,30,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,143,1068778,13.4
Total,Montana,30,2019,2019,External causes of morbidity and mortality,V01-Y89,,,143,1068778,13.4
Total,Montana,30,2019,2019,,,,,143,1068778,13.4
Total,Montana,30,,,,,,,2282,20574410,11.1
,Nebraska,31,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,38,1704764,2.2
Total,Nebraska,31,1999,1999,External causes of morbidity and mortality,V01-Y89,,,38,1704764,2.2
Total,Nebraska,31,1999,1999,,,,,38,1704764,2.2
,Nebraska,31,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,46,1711263,2.7
Total,Nebraska,31,2000,2000,External causes of morbidity and mortality,V01-Y89,,,46,1711263,2.7
Total,Nebraska,31,2000,2000,,,,,46,1711263,2.7
,Nebraska,31,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,66,1719836,3.8
Total,Nebraska,31,2001,2001,External causes of morbidity and mortality,V01-Y89,,,66,1719836,3.8
Total,Nebraska,31,2001,2001,,,,,66,1719836,3.8
,Nebraska,31,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,66,1728292,3.8
Total,Nebraska,31,2002,2002,External causes of morbidity and mortality,V01-Y89,,,66,1728292,3.8
Total,Nebraska,31,2002,2002,,,,,66,1728292,3.8
,Nebraska,31,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,55,1738643,3.2
Total,Nebraska,31,2003,2003,External causes of morbidity and mortality,V01-Y89,,,55,1738643,3.2
Total,Nebraska,31,2003,2003,,,,,55,1738643,3.2
,Nebraska,31,2004,2004,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,59,1749370,3.4
Total,Nebraska,31,2004,2004,External causes of morbidity and mortality,V01-Y89,,,59,1749370,3.4
Total,Nebraska,31,2004,2004,,,,,59,1749370,3.4
,Nebraska,31,2005,2005,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,85,1761497,4.8
Total,Nebraska,31,2005,2005,External causes of morbidity and mortality,V01-Y89,,,85,1761497,4.8
Total,Nebraska,31,2005,2005,,,,,85,1761497,4.8
,Nebraska,31,2006,2006,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,90,1772693,5.1
Total,Nebraska,31,2006,2006,External causes of morbidity and mortality,V01-Y89,,,90,1772693,5.1
Total,Nebraska,31,2006,2006,,,,,90,1772693,5.1
,Nebraska,31,2007,2007,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,80,1783440,4.5
Total,Nebraska,31,2007,2007,External causes of morbidity and mortality,V01-Y89,,,80,1783440,4.5
Total,Nebraska,31,2007,2007,,,,,80,1783440,4.5
,Nebraska,31,2008,2008,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,93,1796378,5.2
Total,Nebraska,31,2008,2008,External causes of morbidity and mortality,V01-Y89,,,93,1796378,5.2
Total,Nebraska,31,2008,2008,,,,,93,1796378,5.2
,Nebraska,31,2009,2009,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,106,1812683,5.8
Total,Nebraska,31,2009,2009,External causes of morbidity and mortality,V01-Y89,,,106,1812683,5.8
Total,Nebraska,31,2009,2009,,,,,106,1812683,5.8
,Nebraska,31,2010,2010,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,116,1826341,6.4
Total,Nebraska,31,2010,2010,External causes of morbidity and mortality,V01-Y89,,,116,1826341,6.4
Total,Nebraska,31,2010,2010,,,,,116,1826341,6.4
,Nebraska,31,2011,2011,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,129,1842641,7
Total,Nebraska,31,2011,2011,External causes of morbidity and mortality,V01-Y89,,,129,1842641,7
Total,Nebraska,31,2011,2011,,,,,129,1842641,7
,Nebraska,31,2012,2012,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,146,1855525,7.9
Total,Nebraska,31,2012,2012,External causes of morbidity and mortality,V01-Y89,,,146,1855525,7.9
Total,Nebraska,31,2012,2012,,,,,146,1855525,7.9
,Nebraska,31,2013,2013,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,117,1868516,6.3
Total,Nebraska,31,2013,2013,External causes of morbidity and mortality,V01-Y89,,,117,1868516,6.3
Total,Nebraska,31,2013,2013,,,,,117,1868516,6.3
,Nebraska,31,2014,2014,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,124,1881503,6.6
Total,Nebraska,31,2014,2014,External causes of morbidity and mortality,V01-Y89,,,124,1881503,6.6
Total,Nebraska,31,2014,2014,,,,,124,1881503,6.6
,Nebraska,31,2015,2015,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,126,1896190,6.6
Total,Nebraska,31,2015,2015,External causes of morbidity and mortality,V01-Y89,,,126,1896190,6.6
Total,Nebraska,31,2015,2015,,,,,126,1896190,6.6
,Nebraska,31,2016,2016,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,120,1907116,6.3
Total,Nebraska,31,2016,2016,External causes of morbidity and mortality,V01-Y89,,,120,1907116,6.3
Total,Nebraska,31,2016,2016,,,,,120,1907116,6.3
,Nebraska,31,2017,2017,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,152,1920076,7.9
Total,Nebraska,31,2017,2017,External causes of morbidity and mortality,V01-Y89,,,152,1920076,7.9
Total,Nebraska,31,2017,2017,,,,,152,1920076,7.9
,Nebraska,31,2018,2018,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,138,1929268,7.2
Total,Nebraska,31,2018,2018,External causes of morbidity and mortality,V01-Y89,,,138,1929268,7.2
Total,Nebraska,31,2018,2018,,,,,138,1929268,7.2
,Nebraska,31,2019,2019,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,160,1934408,8.3
Total,Nebraska,31,2019,2019,External causes of morbidity and mortality,V01-Y89,,,160,1934408,8.3
Total,Nebraska,31,2019,2019,,,,,160,1934408,8.3
Total,Nebraska,31,,,,,,,2112,38140443,5.5
,Nevada,32,1999,1999,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,227,1934718,11.7
Total,Nevada,32,1999,1999,External causes of morbidity and mortality,V01-Y89,,,227,1934718,11.7
Total,Nevada,32,1999,1999,,,,,227,1934718,11.7
,Nevada,32,2000,2000,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,272,1998257,13.6
Total,Nevada,32,2000,2000,External causes of morbidity and mortality,V01-Y89,,,272,1998257,13.6
Total,Nevada,32,2000,2000,,,,,272,1998257,13.6
,Nevada,32,2001,2001,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,261,2098399,12.4
Total,Nevada,32,2001,2001,External causes of morbidity and mortality,V01-Y89,,,261,2098399,12.4
Total,Nevada,32,2001,2001,,,,,261,2098399,12.4
,Nevada,32,2002,2002,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,322,2173791,14.8
Total,Nevada,32,2002,2002,External causes of morbidity and mortality,V01-Y89,,,322,2173791,14.8
Total,Nevada,32,2002,2002,,,,,322,2173791,14.8
,Nevada,32,2003,2003,External causes of morbidity and mortality,V01-Y89,All other non-drug and non-alcohol causes,O,342,2248850,15.2
Total,Nevada,32,2003,2003,External causes of morbidity and mortality,V01-Y89,,,342,2248850,15.2
